,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
52,05-22,24,19,11,4,4,1,1,1,2,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0
53,05-23,26,14,3,0,4,1,1,1,3,0,0,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0
54,05-24,30,18,3,4,3,4,2,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0
55,05-25,17,8,6,3,7,1,4,3,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
56,05-26,22,16,2,0,4,2,2,3,0,0,0,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0
57,05-27,24,1,8,2,4,2,1,4,7,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0
58,05-28,30,13,4,2,1,1,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
59,05-29,22,17,6,4,4,0,1,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
60,05-30,17,9,6,0,0,2,1,5,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
61,05-31,41,12,5,0,1,0,4,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
62,06-01,26,13,5,2,0,1,4,1,0,2,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0
63,06-02,43,13,8,0,1,3,4,2,0,1,0,1,0,0,1,0,1,1,3,0,0,0,0,0,0,0
64,06-03,27,17,8,1,0,0,1,1,0,1,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0
65,06-04,24,11,6,3,0,0,0,1,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
66,06-05,14,13,8,1,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,06-06,17,13,4,0,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0
68,06-07,35,9,5,1,0,4,3,0,0,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
69,06-08,10,3,5,3,1,4,2,1,4,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
70,06-09,35,11,6,0,0,4,2,3,1,2,0,2,0,0,0,0,2,0,2,0,1,0,0,0,0,0
71,06-10,34,8,7,1,0,0,2,1,0,2,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0
72,06-11,31,8,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,06-12,38,3,8,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
74,06-13,42,7,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,06-14,15,6,7,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
76,06-15,26,7,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
77,06-16,29,7,8,0,0,1,2,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
78,06-18,47,7,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
79,06-19,20,12,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0
80,06-20,16,12,1,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
81,06-21,15,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
82,06-22,14,8,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
83,06-23,42,2,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
84,06-24,17,4,1,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
85,06-25,25,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
86,06-26,28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,06-27,29,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
88,06-28,33,7,4,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
89,06-29,20,7,6,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
90,06-30,31,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
91,07-01,37,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
92,07-02,30,16,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
93,07-03,27,18,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
94,07-04,21,17,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
95,07-05,13,10,7,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
