,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
52,05-22,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
53,05-23,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
54,05-24,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
55,05-25,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
56,05-26,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
57,05-27,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
58,05-28,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
59,05-29,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
60,05-30,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
61,05-31,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
62,06-01,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
63,06-02,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
64,06-03,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
65,06-04,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
66,06-05,1,0,0,1,2,6,1,1,2,0,0,0,0,0,20,20,1,2,0,2,0,0,0,0,0,0
67,06-06,1,0,0,1,2,6,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
