,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
140,08-21,1705,347,197,695,1065,229,637,64,161,395,395,163,163,163,403,403,107,156,231,363,171,171,171,171,171,171
141,08-22,1720,351,198,696,1065,229,637,64,161,395,395,163,163,163,405,405,108,156,231,363,171,171,171,171,171,171
142,08-23,1732,358,199,697,1065,229,637,64,161,395,395,163,163,163,405,405,109,157,231,363,171,171,171,171,171,171
143,08-24,1740,360,200,697,1066,229,637,64,162,395,395,163,163,163,405,405,109,158,231,363,171,171,171,171,171,171
144,08-25,1755,364,200,698,1067,229,639,64,163,395,395,167,167,167,405,405,109,158,233,363,171,171,171,171,171,171
145,08-26,1766,366,200,699,1067,229,639,64,163,395,395,168,168,168,405,405,109,158,233,363,171,171,171,171,171,171
146,08-27,1784,373,201,699,1067,229,640,64,163,395,395,169,169,169,406,406,109,158,233,363,171,171,171,171,171,171
147,08-28,1787,373,202,700,1067,229,640,65,164,395,395,169,169,169,406,406,109,158,233,363,171,171,171,171,171,171
148,08-29,1799,378,203,701,1067,229,640,65,164,395,395,170,170,170,407,407,109,158,233,363,171,171,171,171,171,171
149,08-31,1817,385,203,701,1068,229,640,65,165,395,395,170,170,170,408,408,109,158,235,363,171,171,171,171,171,171
150,09-01,1831,395,203,701,1068,229,641,65,165,395,395,170,170,170,408,408,109,158,235,363,171,171,171,171,171,171
151,09-02,1847,395,203,701,1068,229,642,65,168,395,395,170,170,170,408,408,109,158,235,365,171,171,171,171,171,171
152,09-03,1865,395,203,701,1076,229,642,65,169,395,395,170,170,170,408,408,109,158,237,365,171,171,171,171,171,171
153,09-04,1867,398,203,702,1076,229,643,65,169,395,395,170,170,170,408,408,109,158,237,365,171,171,171,171,171,171
154,09-05,1874,400,203,703,1076,16,643,65,173,395,395,171,171,171,409,409,109,158,237,365,171,171,171,171,171,171
155,09-06,1887,405,203,705,1076,18,643,65,173,395,395,172,172,172,409,409,109,158,237,365,171,171,171,171,171,171
156,09-07,1893,409,203,707,1076,18,643,65,173,395,395,172,172,172,409,409,109,158,238,365,171,171,171,171,171,171
157,09-08,1902,415,203,708,1076,18,643,65,173,395,395,172,172,172,410,410,109,158,238,365,171,171,171,171,171,171
158,09-09,1916,421,203,708,1076,18,643,65,173,395,395,172,172,172,410,410,109,158,238,365,171,171,171,171,171,171
159,09-10,1935,424,203,708,1076,18,643,65,173,395,395,172,172,172,410,410,110,158,238,365,171,171,171,171,171,171
160,09-11,1939,425,203,709,1076,18,643,65,173,395,395,172,172,172,410,410,110,158,240,365,172,172,172,172,172,172
161,09-12,1939,427,203,709,1076,18,643,65,173,395,395,172,172,172,412,412,111,158,243,365,172,172,172,172,172,172
162,09-13,1953,434,203,709,1076,19,643,65,173,395,395,173,173,173,412,412,111,158,244,365,172,172,172,172,172,172
163,09-14,1958,439,203,709,1076,19,643,69,173,395,395,173,173,173,412,412,111,158,244,365,172,172,172,172,172,172
164,09-15,1969,439,205,709,1076,19,645,69,173,395,395,173,173,173,412,412,111,158,244,366,172,172,172,172,172,172
165,09-16,1980,444,205,709,1076,19,645,69,173,395,395,173,173,173,412,412,111,158,244,367,172,172,172,172,172,172
166,09-17,1999,446,205,711,1076,19,645,69,177,395,395,173,173,173,412,412,111,158,244,367,172,172,172,172,172,172
167,09-18,2002,450,205,711,1076,19,645,69,177,395,395,173,173,173,412,412,111,158,244,367,172,172,172,172,172,172
168,09-19,2002,450,205,712,1076,19,645,69,177,395,395,173,173,173,413,413,111,158,244,367,172,172,172,172,172,172
169,09-20,2015,452,205,712,1076,19,645,69,177,395,395,173,173,173,413,413,111,158,244,367,172,172,172,172,172,172
170,09-21,2015,453,205,712,1076,19,645,69,177,395,395,173,173,173,413,413,111,158,245,367,172,172,172,172,172,172
171,09-22,2043,459,205,712,1077,20,645,69,177,395,395,173,173,173,413,413,111,158,246,368,172,172,172,172,172,172
172,09-23,2057,462,205,712,1078,20,645,69,177,395,395,173,173,173,413,413,111,158,246,368,172,172,172,172,172,172
173,09-24,2070,464,206,713,1078,20,645,69,178,395,395,173,173,173,413,413,111,158,247,369,172,172,172,172,172,172
174,09-25,2070,469,206,713,1078,20,645,69,178,395,395,174,174,174,413,413,111,158,247,369,172,172,172,172,172,172
175,09-26,2070,469,206,714,1078,21,645,69,178,395,395,174,174,174,413,413,111,158,247,369,172,172,172,172,172,172
176,09-27,2085,471,206,715,1078,21,645,69,178,395,395,174,174,174,413,413,111,158,247,369,172,172,172,172,172,172
177,09-29,2098,478,206,715,1079,22,645,69,178,395,395,174,174,174,414,414,111,158,250,370,172,172,172,172,172,172
178,09-30,2102,481,206,715,1079,23,645,69,179,395,395,174,174,174,414,414,111,158,252,370,172,172,172,172,172,172
179,10-01,2124,485,206,715,1079,23,646,69,179,395,395,174,174,174,414,414,111,158,252,370,172,172,172,172,172,172
180,10-02,2124,485,206,715,1079,23,646,69,179,395,395,174,174,174,414,414,111,158,254,371,172,172,172,172,172,172
181,10-03,2124,487,206,715,1079,23,646,69,179,395,395,175,175,175,414,414,111,158,254,371,172,172,172,172,172,172
182,10-04,2140,489,206,715,1079,23,646,69,179,395,395,175,175,175,414,414,111,158,255,371,172,172,172,172,172,172
183,10-05,2140,489,206,715,1081,23,648,69,179,395,395,177,177,177,414,414,111,158,256,371,172,172,172,172,172,172
184,10-06,2169,494,206,719,1082,23,648,69,180,395,395,177,177,177,414,414,111,158,256,374,174,174,174,174,174,174
185,10-07,2225,498,207,721,1093,24,650,69,181,401,401,179,179,179,419,419,114,158,256,374,175,175,175,175,175,175
186,10-08,2257,503,213,722,1106,24,669,69,181,403,403,183,183,183,423,423,114,158,262,374,178,178,178,178,178,178
187,10-09,2299,510,213,728,1111,24,685,69,184,407,407,183,183,183,429,429,114,158,267,374,182,182,182,182,182,182
188,10-10,2334,512,219,731,1122,27,699,69,187,407,407,183,183,183,434,434,114,158,267,374,184,184,184,184,184,184
189,10-11,2350,516,220,736,1133,32,705,69,187,409,409,189,189,189,438,438,114,158,268,374,184,184,184,184,184,184
190,10-12,2408,519,222,740,1144,32,707,69,189,410,410,191,191,191,439,439,116,158,270,374,184,184,184,184,184,184
191,10-13,2546,524,222,743,1166,32,726,69,192,412,412,198,198,198,441,441,116,158,270,374,184,184,184,184,184,184
192,10-14,2639,525,225,743,1178,32,726,69,192,415,415,198,198,198,444,444,116,158,270,374,184,184,184,184,184,184
193,10-15,2732,531,225,744,1186,32,730,69,193,417,417,199,199,199,446,446,118,158,272,374,184,184,184,184,184,184
194,10-16,2732,532,225,744,1193,32,734,69,193,417,417,199,199,199,447,447,122,158,276,374,184,184,184,184,184,184
195,10-17,2788,536,225,746,1205,32,740,69,193,418,418,203,203,203,448,448,122,158,278,381,188,188,188,188,188,188
196,10-18,2847,537,225,748,1221,32,749,69,196,419,419,204,204,204,452,452,124,158,280,381,189,189,189,189,189,189
197,10-19,2856,539,225,753,1228,32,750,69,196,421,421,204,204,204,454,454,126,158,282,381,189,189,189,189,189,189
198,10-20,2931,542,226,757,1237,32,763,69,196,422,422,208,208,208,457,457,128,158,282,381,190,190,190,190,190,190
199,10-21,2931,544,226,760,1250,32,771,69,197,425,425,209,209,209,462,462,129,158,282,382,190,190,190,190,190,190
200,10-22,2931,547,226,762,1261,32,788,69,200,428,428,214,214,214,470,470,131,158,283,382,193,193,193,193,193,193
201,10-23,3024,550,226,768,1274,34,800,69,200,431,431,215,215,215,474,474,131,158,285,382,195,195,195,195,195,195
202,10-24,3103,555,226,776,1287,34,809,69,206,432,432,217,217,217,480,480,134,158,287,382,195,195,195,195,195,195
203,10-25,3200,563,227,779,1302,34,821,69,207,443,443,218,218,218,490,490,142,158,291,382,196,196,196,196,196,196
204,10-26,3267,565,229,785,1310,34,832,69,207,449,449,220,220,220,493,493,144,158,295,382,197,197,197,197,197,197
205,10-27,3324,588,231,791,1329,34,847,69,210,453,453,220,220,220,501,501,145,158,295,382,198,198,198,198,198,198
206,10-28,3343,591,231,797,1337,36,862,69,212,457,457,220,220,220,505,505,146,158,296,382,199,199,199,199,199,199
207,10-29,3343,596,234,803,1349,37,872,69,212,462,462,221,221,221,510,510,149,158,297,382,200,200,200,200,200,200
208,10-30,3392,600,237,806,1365,37,883,69,217,468,468,225,225,225,521,521,151,15,300,382,201,201,201,201,201,201
209,10-31,3439,604,241,816,1376,37,894,69,220,468,468,229,229,229,528,528,156,15,303,382,203,203,203,203,203,203
