,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
197,10-19,8348,3692,3085,755,1230,281,751,680,198,421,0,204,0,0,480,0,128,160,282,383,189,0,0,0,0,0
198,10-20,8512,3732,3095,759,1239,282,764,685,198,422,0,208,0,0,483,0,130,160,282,383,190,0,0,0,0,0
199,10-21,8574,3764,3104,762,1252,283,772,690,199,425,0,209,0,0,488,0,131,160,282,384,190,0,0,0,0,0
200,10-22,8681,3794,3119,764,1263,284,789,698,202,428,0,214,0,0,496,0,133,160,283,384,193,0,0,0,0,0
201,10-23,8887,3837,3175,770,1276,287,801,703,202,431,0,215,0,0,500,0,133,160,285,384,195,0,0,0,0,0
202,10-24,9117,3895,3201,778,1289,287,810,706,208,432,0,217,0,0,506,0,136,160,287,384,195,0,0,0,0,0
203,10-25,9334,3948,3228,781,1304,287,822,709,209,443,0,218,0,0,516,0,142,160,291,384,196,0,0,0,0,0
204,10-26,9558,4000,3256,787,1312,287,833,714,209,449,0,220,0,0,519,0,146,160,295,384,197,0,0,0,0,0
205,10-27,9724,4070,3287,793,1331,287,848,721,212,453,0,220,0,0,527,0,147,160,295,384,198,0,0,0,0,0
206,10-28,9885,4144,3325,799,1339,289,863,731,214,457,0,220,0,0,531,0,148,160,296,384,199,0,0,0,0,0
207,10-29,9951,4203,3337,805,1351,290,873,733,214,462,0,221,0,0,536,0,151,160,297,384,200,0,0,0,0,0
208,10-30,10056,4244,3375,808,1367,291,884,733,219,468,0,225,0,0,547,0,153,175,300,384,201,0,0,0,0,0
209,10-31,10210,4265,3400,818,1378,291,895,737,222,468,0,229,0,0,554,0,158,175,303,384,203,0,0,0,0,0
210,11-01,10258,4304,3427,824,1390,291,905,739,225,468,0,233,0,0,556,0,162,182,306,384,203,0,0,0,0,0
