,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
52,05-22,8,6,2,4,4,1,1,0,2,3,3,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0
53,05-23,4,2,1,0,4,1,1,0,3,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
54,05-24,3,4,0,4,3,4,2,0,1,0,0,1,1,1,2,2,0,0,2,0,0,0,0,0,0,0
55,05-25,4,3,0,3,7,1,4,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
56,05-26,3,0,0,0,4,2,2,0,0,0,0,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0
57,05-27,4,0,0,2,4,2,1,0,7,1,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0
58,05-28,10,2,0,2,1,1,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
59,05-29,4,7,0,4,4,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
60,05-30,4,2,1,0,0,2,1,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
61,05-31,8,4,0,0,1,0,4,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
62,06-01,5,1,0,2,0,1,4,0,0,2,2,0,0,0,0,0,2,0,3,0,2,2,2,2,2,2
63,06-02,6,5,2,0,1,3,4,0,0,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0
64,06-03,5,5,2,1,0,0,1,0,0,1,1,0,0,0,1,1,0,6,1,0,0,0,0,0,0,0
65,06-04,6,1,1,3,0,0,0,0,0,3,3,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0
66,06-05,7,4,1,1,2,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67,06-06,10,3,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2
68,06-07,11,1,0,1,0,4,3,0,0,8,8,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2
69,06-08,3,2,0,3,1,3,2,0,4,0,0,0,0,0,0,0,3,0,1,0,1,1,1,1,1,1
70,06-09,4,7,1,0,0,4,2,0,1,2,2,2,2,2,0,0,2,0,2,0,1,1,1,1,1,1
71,06-10,11,4,0,1,0,0,2,0,0,2,2,1,1,1,0,0,2,0,0,0,2,2,2,2,2,2
72,06-11,10,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,06-12,8,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,1,1,1,1
74,06-13,5,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
75,06-14,11,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
76,06-15,14,5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2
77,06-16,6,5,0,0,0,1,2,0,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
78,06-18,17,5,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
79,06-19,4,7,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,3,3,3,3,3
80,06-20,2,8,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,4,4,4,4
81,06-21,12,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
82,06-22,10,5,0,0,0,1,0,0,1,0,0,2,2,2,0,0,0,0,0,0,3,3,3,3,3,3
83,06-23,13,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3
84,06-24,8,2,0,2,0,1,1,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,1,1,1,1
85,06-25,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
86,06-26,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
87,06-27,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2
88,06-28,10,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2
89,06-29,11,4,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,1
90,06-30,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1
91,07-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1
92,07-02,23,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2
93,07-03,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,3
94,07-04,5,8,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
95,07-05,10,5,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
96,07-06,5,5,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1
97,07-07,4,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
98,07-08,12,9,0,1,1,0,0,0,0,0,0,3,3,3,0,0,2,0,1,0,1,1,1,1,1,1
99,07-09,7,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,1,1,1,1,1
100,07-10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
101,07-11,3,2,0,3,10,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1
102,07-12,15,3,0,2,17,0,4,0,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
103,07-13,10,3,0,0,22,0,2,0,4,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0
104,07-14,6,4,1,3,24,0,5,0,2,0,0,0,0,0,1,1,2,0,2,0,1,1,1,1,1,1
105,07-15,9,6,2,2,19,4,5,0,0,0,0,2,2,2,1,1,3,2,6,0,4,4,4,4,4,4
106,07-16,25,6,2,2,16,4,12,0,0,0,0,2,2,2,1,1,0,1,2,0,3,3,3,3,3,3
107,07-17,7,6,3,2,18,4,5,0,0,0,0,1,1,1,2,2,2,1,1,0,2,2,2,2,2,2
108,07-18,4,3,1,0,11,0,4,0,0,3,3,1,1,1,1,1,2,0,2,0,1,1,1,1,1,1
109,07-19,24,5,1,1,6,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
110,07-20,15,0,1,0,7,0,2,0,1,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0
