,ID,Date,District,Suspected_Local,Suspected_Foreign,Suspected_Total,TotalInfected
3,0404_Kalutara,04-04,Kalutara,18,0,18,25
4,0404_Anuradhapura,04-04,Anuradhapura,10,0,10,0
5,0404_Kandy,04-04,Kandy,3,0,3,4
6,0404_Kurunegala,04-04,Kurunegala,6,0,6,2
7,0404_Polonnaruwa,04-04,Polonnaruwa,25,0,25,0
8,0404_Jaffna,04-04,Jaffna,4,0,4,7
9,0404_Ratnapura,04-04,Ratnapura,5,0,5,3
10,0404_Kegalle,04-04,Kegalle,0,0,0,1
11,0404_Moneragala,04-04,Moneragala,7,0,7,0
12,0404_Kalmunai,04-04,Kalmunai,0,0,0,0
13,0404_Matale,04-04,Matale,0,0,0,0
14,0404_Galle,04-04,Galle,2,0,2,1
15,0404_Ampara,04-04,Ampara,0,0,0,0
16,0404_Badulla,04-04,Badulla,0,0,0,1
17,0404_Matara,04-04,Matara,2,0,2,1
18,0404_Batticoloa,04-04,Batticoloa,0,0,0,1
19,0404_Hambantota,04-04,Hambantota,6,0,6,0
20,0404_Vavunia,04-04,Vavunia,0,0,0,0
21,0404_Trincomalee,04-04,Trincomalee,0,0,0,0
22,0404_Nuwaraeliya,04-04,Nuwaraeliya,0,0,0,0
23,0404_Kilinochchi,04-04,Kilinochchi,0,0,0,0
24,0404_Mannar,04-04,Mannar,0,0,0,0
25,0404_Mullativu,04-04,Mullativu,0,0,0,0
0,0405_Colombo,04-05,Colombo,32,0,32,42
1,0405_Gampaha,04-05,Gampaha,41,0,41,11
2,0405_Puttalam,04-05,Puttalam,4,0,4,27
3,0405_Kalutara,04-05,Kalutara,12,0,12,25
4,0405_Anuradhapura,04-05,Anuradhapura,10,0,10,0
5,0405_Kandy,04-05,Kandy,9,0,9,6
6,0405_Kurunegala,04-05,Kurunegala,12,0,12,2
7,0405_Polonnaruwa,04-05,Polonnaruwa,29,0,29,0
8,0405_Jaffna,04-05,Jaffna,1,0,1,7
9,0405_Ratnapura,04-05,Ratnapura,3,0,3,3
10,0405_Kegalle,04-05,Kegalle,0,0,0,1
11,0405_Moneragala,04-05,Moneragala,7,0,7,0
12,0405_Kalmunai,04-05,Kalmunai,0,0,0,0
13,0405_Matale,04-05,Matale,0,0,0,0
14,0405_Galle,04-05,Galle,3,0,3,1
15,0405_Ampara,04-05,Ampara,0,0,0,0
16,0405_Badulla,04-05,Badulla,1,0,1,1
17,0405_Matara,04-05,Matara,7,0,7,1
18,0405_Batticoloa,04-05,Batticoloa,0,0,0,1
19,0405_Hambantota,04-05,Hambantota,8,0,8,0
20,0405_Vavunia,04-05,Vavunia,2,0,2,0
21,0405_Trincomalee,04-05,Trincomalee,0,0,0,0
22,0405_Nuwaraeliya,04-05,Nuwaraeliya,0,0,0,0
23,0405_Kilinochchi,04-05,Kilinochchi,0,0,0,0
24,0405_Mannar,04-05,Mannar,0,0,0,0
25,0405_Mullativu,04-05,Mullativu,0,0,0,0
0,0406_Colombo,04-06,Colombo,44,0,44,44
1,0406_Gampaha,04-06,Gampaha,71,0,71,13
2,0406_Puttalam,04-06,Puttalam,4,0,4,31
3,0406_Kalutara,04-06,Kalutara,15,0,15,25
4,0406_Anuradhapura,04-06,Anuradhapura,9,0,9,0
5,0406_Kandy,04-06,Kandy,0,0,0,7
6,0406_Kurunegala,04-06,Kurunegala,11,0,11,2
7,0406_Polonnaruwa,04-06,Polonnaruwa,33,0,33,0
8,0406_Jaffna,04-06,Jaffna,4,0,4,7
9,0406_Ratnapura,04-06,Ratnapura,2,0,2,3
10,0406_Kegalle,04-06,Kegalle,0,0,0,1
11,0406_Moneragala,04-06,Moneragala,1,0,1,0
12,0406_Kalmunai,04-06,Kalmunai,0,0,0,0
13,0406_Matale,04-06,Matale,0,0,0,0
14,0406_Galle,04-06,Galle,4,0,4,1
15,0406_Ampara,04-06,Ampara,0,0,0,0
16,0406_Badulla,04-06,Badulla,2,0,2,1
17,0406_Matara,04-06,Matara,4,0,4,2
18,0406_Batticoloa,04-06,Batticoloa,0,0,0,1
19,0406_Hambantota,04-06,Hambantota,5,0,5,0
20,0406_Vavunia,04-06,Vavunia,0,0,0,0
21,0406_Trincomalee,04-06,Trincomalee,0,0,0,0
22,0406_Nuwaraeliya,04-06,Nuwaraeliya,0,0,0,0
23,0406_Kilinochchi,04-06,Kilinochchi,0,0,0,0
24,0406_Mannar,04-06,Mannar,0,0,0,0
25,0406_Mullativu,04-06,Mullativu,0,0,0,0
0,0407_Colombo,04-07,Colombo,49,0,49,44
1,0407_Gampaha,04-07,Gampaha,69,0,69,13
2,0407_Puttalam,04-07,Puttalam,9,0,9,31
3,0407_Kalutara,04-07,Kalutara,17,0,17,26
4,0407_Anuradhapura,04-07,Anuradhapura,2,0,2,0
5,0407_Kandy,04-07,Kandy,6,0,6,7
6,0407_Kurunegala,04-07,Kurunegala,6,0,6,3
7,0407_Polonnaruwa,04-07,Polonnaruwa,26,0,26,0
8,0407_Jaffna,04-07,Jaffna,2,0,2,7
9,0407_Ratnapura,04-07,Ratnapura,3,0,3,3
10,0407_Kegalle,04-07,Kegalle,0,0,0,1
11,0407_Moneragala,04-07,Moneragala,6,0,6,0
12,0407_Kalmunai,04-07,Kalmunai,0,0,0,0
13,0407_Matale,04-07,Matale,0,0,0,0
14,0407_Galle,04-07,Galle,3,0,3,1
15,0407_Ampara,04-07,Ampara,0,0,0,0
16,0407_Badulla,04-07,Badulla,0,0,0,1
17,0407_Matara,04-07,Matara,4,0,4,2
18,0407_Batticoloa,04-07,Batticoloa,0,0,0,1
19,0407_Hambantota,04-07,Hambantota,7,0,7,0
20,0407_Vavunia,04-07,Vavunia,1,0,1,0
21,0407_Trincomalee,04-07,Trincomalee,0,0,0,0
22,0407_Nuwaraeliya,04-07,Nuwaraeliya,0,0,0,0
23,0407_Kilinochchi,04-07,Kilinochchi,0,0,0,0
24,0407_Mannar,04-07,Mannar,0,0,0,0
25,0407_Mullativu,04-07,Mullativu,0,0,0,0
0,0408_Colombo,04-08,Colombo,35,2,37,44
1,0408_Gampaha,04-08,Gampaha,50,0,50,16
2,0408_Puttalam,04-08,Puttalam,5,0,5,34
3,0408_Kalutara,04-08,Kalutara,16,0,16,26
4,0408_Anuradhapura,04-08,Anuradhapura,10,0,10,0
5,0408_Kandy,04-08,Kandy,4,0,4,7
6,0408_Kurunegala,04-08,Kurunegala,12,0,12,3
7,0408_Polonnaruwa,04-08,Polonnaruwa,26,0,26,0
8,0408_Jaffna,04-08,Jaffna,0,0,0,7
